iter	Logloss
195	0.3234047699
196	0.3232587433
197	0.3231448364
198	0.3230293274
199	0.3229563141
200	0.3228756714
201	0.3227702332
202	0.3227116013
203	0.3226243591
204	0.3225631714
205	0.3224686432
206	0.3223222351
207	0.3221487427
208	0.3220641327
209	0.3219419098
210	0.3217561722
211	0.3217006683
212	0.3216197968
213	0.3214785385
214	0.3214011002
215	0.3212495422
216	0.3211423111
217	0.3210326767
218	0.3208847046
219	0.3207767487
220	0.3206782532
221	0.3205401993
222	0.3204764938
223	0.3203982544
224	0.320288353
225	0.3201542664
226	0.3200343323
227	0.3199419975
228	0.3198707581
229	0.3198144341
230	0.3197358894
231	0.3196836662
232	0.3196467018
233	0.319509697
234	0.3194490242
235	0.3193960571
236	0.3193132019
237	0.3192230988
238	0.3191427803
239	0.3190279007
240	0.3189236832
241	0.318850193
242	0.3187717056
243	0.3186934853
244	0.3186087799
245	0.3185704994
246	0.3184215927
247	0.3183655548
248	0.3183034325
249	0.3182175255
250	0.3181647682
251	0.3180927658
252	0.3179900742
253	0.3179232979
254	0.3177631569
255	0.3176782417
256	0.3175234795
257	0.317417984
258	0.3173307991
259	0.3172585487
260	0.3171217155
261	0.3169961166
262	0.3169208908
263	0.3168186951
264	0.3167419815
265	0.3166859818
266	0.3165986061
267	0.3165575218
268	0.3164185905
269	0.3163134384
270	0.3162566948
271	0.3161694717
272	0.3160588074
273	0.3158926964
274	0.3157980728
275	0.3157177925
276	0.3155748367
277	0.3155179214
278	0.3154621887
279	0.315404644
280	0.3153691292
281	0.3153030205
282	0.3152105331
283	0.3151611519
284	0.3150546265
285	0.3150009155
286	0.3149058342
287	0.3148443031
288	0.3148001099
289	0.3147125053
290	0.3146118736
291	0.314539032
292	0.3144253922
293	0.3143309402
294	0.3142327309
295	0.3141626358
296	0.3141096878
297	0.3139567375
298	0.3138952637
299	0.3138298225
300	0.3137573624
301	0.3136944008
302	0.3135621262
303	0.3134589195
304	0.3133625412
305	0.313209877
306	0.3131095886
307	0.3130350113
308	0.3129424286
309	0.3128212547
310	0.3126772499
311	0.3125564384
312	0.3124809074
313	0.3123868179
314	0.3122561646
315	0.3121582222
316	0.3121086884
317	0.3119754601
318	0.311865139
319	0.3118273544
320	0.3116900063
321	0.3116030121
322	0.3115066528
323	0.311420784
324	0.3113314056
325	0.3112074089
326	0.3111423683
327	0.3110643768
328	0.3109878731
329	0.3108583069
330	0.3107657242
331	0.3106683731
332	0.3105918884
333	0.3105398178
334	0.3104372787
335	0.3103194046
336	0.3102369308
337	0.3101636696
338	0.3101065826
339	0.3100053787
340	0.3099265289
341	0.309817009
342	0.3097676277
343	0.3096529388
344	0.3095856857
345	0.3094787216
346	0.3093587112
347	0.3092563629
348	0.309160881
349	0.309072876
350	0.308971386
351	0.3088929749
352	0.3088072395
353	0.3087021828
354	0.3086378479
355	0.3085033417
356	0.3084343719
357	0.3083691597
358	0.3083282089
359	0.3082370758
360	0.3081177521
361	0.3080357742
362	0.307953949
363	0.3078681564
364	0.3077736664
365	0.3076691628
366	0.3075469398
367	0.3074682617
368	0.3074112129
369	0.3073175812
370	0.307234478
371	0.3071303177
372	0.3070492554
373	0.3069747353
374	0.3069053078
375	0.3068368721
376	0.3067739868
377	0.3067069626
378	0.3065830612
379	0.3064977264
380	0.3064178085
381	0.3063097382
382	0.3062368202
383	0.3061310577
384	0.3060336304
385	0.3058493614
386	0.3057706451
387	0.3056665802
388	0.3055789185
389	0.3055123711
390	0.3053925323
391	0.3053297234
392	0.3052375412
393	0.3051159859
394	0.3050512314
395	0.3049285316
396	0.3048578644
397	0.3047724915
398	0.3046835327
399	0.3045975113
