iter	Logloss
0	0.6717481995
1	0.6497523499
2	0.6288946533
3	0.6098233795
4	0.592534523
5	0.5758943939
6	0.5625666046
7	0.550840683
8	0.5394980621
9	0.5283705902
10	0.5196631241
11	0.5107313156
12	0.5003002167
13	0.4930200195
14	0.4839936066
15	0.475587883
16	0.4687712479
17	0.4613587952
18	0.4545743561
19	0.4491257477
20	0.4431879425
21	0.4385329056
22	0.4335372162
23	0.428921814
24	0.4254396057
25	0.4214928436
26	0.4173789215
27	0.4144678497
28	0.4113864899
29	0.407520256
30	0.4050652695
31	0.4024753189
32	0.3999701309
33	0.3974395752
34	0.3953095245
35	0.3925933456
36	0.3896321487
37	0.3880314255
38	0.3864632797
39	0.384251709
40	0.3826401901
41	0.381003418
42	0.3795531464
43	0.3780455399
44	0.3764400101
45	0.3751342773
46	0.3730953217
47	0.3719205475
48	0.370350914
49	0.3690407181
50	0.367711525
51	0.3669586945
52	0.3661263275
53	0.3652158737
54	0.3639824677
55	0.3630075455
56	0.3620607376
57	0.3611610794
58	0.360449295
59	0.3597981262
60	0.3590920639
61	0.3578965759
62	0.3573319244
63	0.3569057846
64	0.3561671066
65	0.3552571487
66	0.354701004
67	0.3540808868
68	0.3535853958
69	0.3530315018
70	0.3525778961
71	0.3520032501
72	0.3513807678
73	0.3507244873
74	0.3501272202
75	0.349689827
76	0.3493334198
77	0.3489398193
78	0.3481993866
79	0.3478063583
80	0.3473230743
81	0.3469494629
82	0.3464556122
83	0.345800705
84	0.3453787231
85	0.3449786758
86	0.3446969604
87	0.3443283081
88	0.3440214539
89	0.3436941147
90	0.3433376312
91	0.3431789398
92	0.3425883102
93	0.3423251343
94	0.3421113205
95	0.3417068481
96	0.3413846207
97	0.3411769867
98	0.3408007813
99	0.3402971268
100	0.3398978424
101	0.3394904327
102	0.33924366
103	0.338922081
104	0.3387577057
105	0.3384646225
106	0.3380878448
107	0.3379182053
108	0.3376191711
109	0.3374299622
110	0.3371692657
111	0.3370120239
112	0.3367907715
113	0.3365808868
114	0.3363993073
115	0.3362267685
116	0.3356793213
117	0.3355089188
118	0.3352726746
119	0.3348542786
120	0.3344829559
121	0.3343921661
122	0.3342186737
123	0.3341001892
124	0.333937149
125	0.3336457825
126	0.3333425903
127	0.3331614685
128	0.3329972076
129	0.3325694656
130	0.3323371506
131	0.3322157288
132	0.3320568085
133	0.3318955994
134	0.331698761
135	0.3313847351
136	0.3312819672
137	0.3311353302
138	0.3310280609
139	0.3308476639
140	0.3307193756
141	0.3305138397
142	0.3303608704
143	0.3302644348
144	0.3301309204
145	0.3300046158
146	0.3299113846
147	0.3297751236
148	0.3296195221
149	0.3295133972
150	0.3292135239
151	0.3291059875
152	0.3289493561
153	0.3288199234
154	0.3286855698
155	0.328386116
156	0.3282809448
157	0.3280255127
158	0.327923584
159	0.3276377869
160	0.3274053955
161	0.3272438049
162	0.3270541382
163	0.3269208145
164	0.3267700958
165	0.3265010834
166	0.3263905334
167	0.326313858
168	0.326222229
169	0.3261398697
170	0.3260897064
171	0.3259783554
172	0.3258443451
173	0.3257449341
174	0.3256264496
175	0.3253557587
176	0.3252720642
177	0.3251770782
178	0.3250708771
179	0.3250020599
180	0.324910965
181	0.3248306274
182	0.3247290039
183	0.3246257401
184	0.3245622253
185	0.3244598389
186	0.3243411255
187	0.3242702103
188	0.3241516113
189	0.3240401459
190	0.3239563751
191	0.323829155
192	0.3237238312
193	0.3236086273
194	0.3234796524
